id,date,obs_type,org_id,org_name,category,description,resolved
1404453d-fa4c-4ecb-8159-8fc7310e0605,2023-01-22,Хорошая практика,org_07,ТрансНефть,Работа на высоте,Обнаруженный разлив немедленно локализован и убран по инициативе работника.,Устранено
d32b2b6d-02ba-4722-a5fd-2dc40da809fe,2023-01-24,Нарушение,org_04,КазТехСтрой,СИЗ,Отсутствие каски у работника в зоне обязательного ношения СИЗ.,В работе
532cc13c-8136-4827-bd76-65805803e925,2023-01-25,Нарушение,org_03,НефтеМонтаж,СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,В работе
da442a68-9cf5-4aa5-b6f7-36868701740f,2023-01-25,Нарушение,org_01,КМГ-Кумколь (основное),Работа на высоте,Использование приставной лестницы без фиксации верхней части.,В работе
04ca649e-b980-44f5-8c92-98c238513acd,2023-01-25,Нарушение,org_02,БурСервис,Транспорт,Превышение скорости спецтехники на производственной площадке.,Устранено
89f5ce29-3d96-4cd2-a43c-c20c60c554ad,2023-01-25,Хорошая практика,org_04,КазТехСтрой,Электробезопасность,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
7ff5ec56-070c-48f9-a569-18194ef38750,2023-01-25,Нарушение,org_01,КМГ-Кумколь (основное),СИЗ,Отсутствие каски у работника в зоне обязательного ношения СИЗ.,Просрочено
f20f946d-19e4-4b69-8a7f-173c849bde60,2023-01-26,Нарушение,org_07,ТрансНефть,Транспорт,Водитель не использует ремень безопасности на территории объекта.,В работе
4bf8e88a-f359-4fd8-a242-38ddf3142462,2023-01-27,Нарушение,org_04,КазТехСтрой,СИЗ,Работа с химическими реагентами без защитных очков и перчаток.,Устранено
946cc46a-034a-4aa9-95fa-d0eb25cdcb16,2023-01-30,Нарушение,org_03,НефтеМонтаж,Экология,Открытые бочки с нефтепродуктами — риск испарения и розлива.,Устранено
31ac53d8-2f12-465e-9693-84478ffc920a,2023-01-30,Хорошая практика,org_06,СтройПодряд,Экология,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
f4084b7f-2ecf-4989-b3a3-e449eb3cb759,2023-02-01,Нарушение,org_02,БурСервис,Работа на высоте,"Работник находится на лесах, не прошедших приёмку.",Устранено
2fac53a3-3a3d-4429-978e-22a8225cad6d,2023-02-02,Нарушение,org_05,АзимутДриллинг,СИЗ,Работник выполняет сварочные работы без защитного щитка и перчаток.,В работе
14699236-c731-4296-bc1f-233980585dad,2023-02-02,Хорошая практика,org_02,БурСервис,Транспорт,Работник корректно применил процедуру LOTO при обслуживании оборудования.,Устранено
8cd7cefd-2a3d-4141-b301-262dcb490495,2023-02-03,Хорошая практика,org_03,НефтеМонтаж,Работа на высоте,Работник самостоятельно остановил работу при обнаружении нарушения и сообщил мастеру.,Устранено
5d1a1bb0-4b25-4e01-818a-b49d6983eb94,2023-02-03,Хорошая практика,org_05,АзимутДриллинг,Электробезопасность,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
f57282ac-3d09-4182-abe2-80b9fd3d22c6,2023-02-03,Хорошая практика,org_06,СтройПодряд,СИЗ,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
8344413a-bc22-4171-9e5b-4d66fa820d0f,2023-02-05,Нарушение,org_06,СтройПодряд,Огневые работы,Отсутствие первичных средств пожаротушения в зоне огневых работ.,Просрочено
c0da4963-2ec6-4029-a7b0-fd67e3df1fe0,2023-02-06,Хорошая практика,org_02,БурСервис,Транспорт,Работник самостоятельно остановил работу при обнаружении нарушения и сообщил мастеру.,Устранено
60901588-cbb0-40e3-a79a-b5d909d0c9b9,2023-02-06,Нарушение,org_01,КМГ-Кумколь (основное),Порядок на рабочем месте,Инструмент и оборудование не убраны после окончания смены.,Просрочено
3040876d-5830-46b2-ba45-14748110d30f,2023-02-07,Нарушение,org_07,ТрансНефть,СИЗ,Отсутствие каски у работника в зоне обязательного ношения СИЗ.,В работе
695c689a-2f1a-42a3-bc61-8f95cafa5f67,2023-02-08,Нарушение,org_05,АзимутДриллинг,СИЗ,Работа с химическими реагентами без защитных очков и перчаток.,Просрочено
18d8c6b5-0c1d-44e0-b6b8-44b8b3be33d9,2023-02-09,Нарушение,org_02,БурСервис,Порядок на рабочем месте,Хранение горюче-смазочных материалов вне отведённого места.,Устранено
7ccdbcd8-d577-4345-8ca2-637e7dde3263,2023-02-10,Нарушение,org_02,БурСервис,СИЗ,Работник выполняет сварочные работы без защитного щитка и перчаток.,Устранено
68ec3632-2f97-4891-a672-21ea235ec3b3,2023-02-10,Хорошая практика,org_03,НефтеМонтаж,Экология,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
19493148-34a1-4ae3-afc4-4906a55bd1d5,2023-02-11,Нарушение,org_02,БурСервис,Работа на высоте,"Работник находится на лесах, не прошедших приёмку.",Устранено
1946a969-9518-4ed5-ab85-339013a5260c,2023-02-14,Нарушение,org_05,АзимутДриллинг,LOTO,Работы на электрооборудовании без оформления наряда-допуска.,Устранено
aa9fed97-58d9-4e9c-b075-17b5d847119a,2023-02-15,Нарушение,org_01,КМГ-Кумколь (основное),СИЗ,Отсутствие каски у работника в зоне обязательного ношения СИЗ.,В работе
35d8669c-8e7b-47be-adf9-c7f0d76806ef,2023-02-15,Хорошая практика,org_02,БурСервис,Работа на высоте,Правильное использование страховочной привязи при работе на высоте 3м.,Устранено
b81c8da6-416c-4a00-a96f-b8a616c5010e,2023-02-15,Хорошая практика,org_03,НефтеМонтаж,Транспорт,Обнаруженный разлив немедленно локализован и убран по инициативе работника.,Устранено
528ee0cb-3fe4-4291-a803-ddc8c7e8f37b,2023-02-15,Нарушение,org_02,БурСервис,СИЗ,Работник выполняет сварочные работы без защитного щитка и перчаток.,Устранено
e27e88f8-ffac-4127-93b4-80e39e95a0c5,2023-02-16,Хорошая практика,org_01,КМГ-Кумколь (основное),Работа на высоте,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
69c5f977-cc26-46c1-9838-15e04f75b729,2023-02-16,Хорошая практика,org_03,НефтеМонтаж,LOTO,Работник корректно применил процедуру LOTO при обслуживании оборудования.,Устранено
50ce85c9-c4ea-47d5-8e4b-71b4138ffdc9,2023-02-20,Хорошая практика,org_03,НефтеМонтаж,Огневые работы,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
eaa88f00-dd94-41dd-8e9c-06b458ce7c1d,2023-02-21,Хорошая практика,org_06,СтройПодряд,Электробезопасность,Правильное использование страховочной привязи при работе на высоте 3м.,Устранено
9ac84fff-621b-45f8-a438-755d7933fec0,2023-02-22,Хорошая практика,org_01,КМГ-Кумколь (основное),СИЗ,Работник корректно применил процедуру LOTO при обслуживании оборудования.,Устранено
686ee25a-8495-4025-8459-4f44aa5ae6eb,2023-02-22,Нарушение,org_03,НефтеМонтаж,Огневые работы,Сварочные работы в непосредственной близости от ГСМ.,В работе
b8ef13e5-4943-458a-811e-ece5bbf08e1a,2023-02-25,Нарушение,org_04,КазТехСтрой,СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,В работе
10784fb0-55f8-46ca-9e89-9a36a8826e98,2023-02-27,Хорошая практика,org_03,НефтеМонтаж,LOTO,Работник самостоятельно остановил работу при обнаружении нарушения и сообщил мастеру.,Устранено
ed431f5b-8617-4e3c-8029-2b4ed5074247,2023-03-02,Нарушение,org_01,КМГ-Кумколь (основное),Работа на высоте,Использование приставной лестницы без фиксации верхней части.,Устранено
69ec7be2-8dba-4e96-8a9b-5f79b23afa59,2023-03-04,Нарушение,org_01,КМГ-Кумколь (основное),Работа на высоте,Отсутствие ограждения края кровли при проведении ремонтных работ.,Устранено
529ae39a-e6e5-43b1-926e-832ff52d6a14,2023-03-04,Нарушение,org_06,СтройПодряд,Экология,Смешанные отходы в контейнере для раздельного сбора.,Устранено
61d284b8-828a-4f91-966b-0c75ae76c999,2023-03-04,Хорошая практика,org_04,КазТехСтрой,Экология,Работник самостоятельно остановил работу при обнаружении нарушения и сообщил мастеру.,Устранено
77eac477-e141-427e-a905-1c394ef73e19,2023-03-04,Нарушение,org_04,КазТехСтрой,Электробезопасность,Подключение к электросети без заземления корпуса оборудования.,Просрочено
ffbc44a5-cf2c-40a0-90a0-65cc3694ff75,2023-03-05,Нарушение,org_02,БурСервис,Электробезопасность,Оголённые провода удлинителя в рабочей зоне.,Устранено
a64622ba-eb69-447f-8fef-f387945b4ce3,2023-03-07,Нарушение,org_02,БурСервис,СИЗ,Работа с химическими реагентами без защитных очков и перчаток.,Просрочено
51c07587-590b-4a5c-9504-b95c0ebf9783,2023-03-07,Нарушение,org_04,КазТехСтрой,Экология,Смешанные отходы в контейнере для раздельного сбора.,В работе
17018f7d-af08-47b8-bf8d-7e9613644919,2023-03-08,Хорошая практика,org_01,КМГ-Кумколь (основное),СИЗ,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
3c49f132-6492-4335-9d40-6702d039a142,2023-03-09,Хорошая практика,org_05,АзимутДриллинг,Огневые работы,Обнаруженный разлив немедленно локализован и убран по инициативе работника.,Устранено
5c91b3af-94c7-4fdb-8c77-9ba2d8ffb0a6,2023-03-09,Хорошая практика,org_01,КМГ-Кумколь (основное),LOTO,Правильное использование страховочной привязи при работе на высоте 3м.,Устранено
13eb6fbf-0845-4167-b55c-276c67db4c70,2023-03-10,Нарушение,org_01,КМГ-Кумколь (основное),Экология,Загрязнённые ветошь и спецодежда выброшены в бытовой мусор.,Устранено
0e172d82-78d0-486f-be54-dce8657a61b3,2023-03-11,Хорошая практика,org_02,БурСервис,LOTO,Обнаруженный разлив немедленно локализован и убран по инициативе работника.,Устранено
0534260a-dd6b-49f3-b2b1-a2430714e19b,2023-03-11,Нарушение,org_05,АзимутДриллинг,Работа на высоте,"Работник находится на лесах, не прошедших приёмку.",Просрочено
8ad28a19-2408-434f-abc2-58501ff5861d,2023-03-12,Хорошая практика,org_03,НефтеМонтаж,Порядок на рабочем месте,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
9fcb0a0e-4133-40d0-82bb-9444a029fd99,2023-03-15,Хорошая практика,org_01,КМГ-Кумколь (основное),СИЗ,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
0c2a0728-6f5a-4a3d-b355-d0e97fccf536,2023-03-17,Хорошая практика,org_05,АзимутДриллинг,Работа на высоте,Работник корректно применил процедуру LOTO при обслуживании оборудования.,Устранено
365c1067-e38d-42f7-902a-79af80b78980,2023-03-17,Нарушение,org_03,НефтеМонтаж,Транспорт,Превышение скорости спецтехники на производственной площадке.,Устранено
784d1081-3d97-4952-8b80-4d346d163273,2023-03-18,Нарушение,org_03,НефтеМонтаж,СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,В работе
94d909e8-c296-4f22-a2ac-bae30127b64c,2023-03-19,Нарушение,org_04,КазТехСтрой,СИЗ,Работа с химическими реагентами без защитных очков и перчаток.,Устранено
415d106e-9ab9-4f70-9fb1-595fce9d02c7,2023-03-20,Нарушение,org_04,КазТехСтрой,Порядок на рабочем месте,Захламлённость прохода у эвакуационного выхода.,Устранено
42536806-88ff-4344-bc14-4432a1624f6d,2023-03-20,Хорошая практика,org_04,КазТехСтрой,СИЗ,Бригада провела инструктаж перед началом работ согласно регламенту.,Устранено
14538720-e161-4ce6-9326-39b8ed744d16,2023-03-22,Нарушение,org_02,БурСервис,Порядок на рабочем месте,Инструмент и оборудование не убраны после окончания смены.,Устранено
55042355-8531-4aaa-97a8-8fc5d423abb4,2023-03-22,Нарушение,org_02,БурСервис,Огневые работы,Отсутствие первичных средств пожаротушения в зоне огневых работ.,Устранено
ca3b6d21-79c1-4506-b8b1-9bfb0f0dd29a,2023-03-22,Нарушение,org_02,БурСервис,Порядок на рабочем месте,Инструмент и оборудование не убраны после окончания смены.,В работе
3e916c0a-f6b0-4aff-9db3-6194d1322499,2023-03-22,Нарушение,org_04,КазТехСтрой,Электробезопасность,Распределительный щит оставлен открытым и без обозначений.,В работе
076d8349-e9c7-43df-a5f7-1b43cb424372,2023-03-26,Хорошая практика,org_05,АзимутДриллинг,LOTO,Обнаруженный разлив немедленно локализован и убран по инициативе работника.,Устранено
ea87e625-81c8-484d-973f-3e8042865970,2023-03-26,Хорошая практика,org_03,НефтеМонтаж,Порядок на рабочем месте,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
e452ecb9-b9f4-4eb1-aaf1-ffeb09ead41b,2023-03-28,Нарушение,org_03,НефтеМонтаж,LOTO,Отсутствие личного замка на групповой блокировке оборудования.,В работе
d7ccc638-6211-43e3-a1ac-cc7378d213f5,2023-03-28,Нарушение,org_03,НефтеМонтаж,Работа на высоте,"Работник находится на лесах, не прошедших приёмку.",Устранено
b5a02f70-9850-4178-91cd-7d2acb50f246,2023-03-29,Нарушение,org_03,НефтеМонтаж,Огневые работы,Сварочные работы в непосредственной близости от ГСМ.,Устранено
17fcfca6-9bad-4cb1-a52d-6829a9feb1fd,2023-03-29,Нарушение,org_01,КМГ-Кумколь (основное),Огневые работы,Сварочные работы в непосредственной близости от ГСМ.,В работе
ea6b9e8c-d4ea-416b-9f75-0c1531a505cc,2023-03-29,Хорошая практика,org_06,СтройПодряд,СИЗ,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
15d69b28-a6bb-46e5-9ed5-033903977d0b,2023-03-31,Нарушение,org_06,СтройПодряд,Экология,Загрязнённые ветошь и спецодежда выброшены в бытовой мусор.,Устранено
5724877c-8d59-40e3-9ed4-26ab93b8d4d4,2023-03-31,Нарушение,org_01,КМГ-Кумколь (основное),СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,Устранено
93da05a4-a6e6-4c8a-ad56-1c5b3ce9152c,2023-03-31,Хорошая практика,org_07,ТрансНефть,СИЗ,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
cb9ee8f7-d6ba-4888-8cca-a0103c14f0f5,2023-04-01,Нарушение,org_03,НефтеМонтаж,Огневые работы,Огневые работы без оформленного разрешения и газового контроля.,В работе
b8cb4bdb-edd0-4cfc-86f7-4371d0d1e592,2023-04-01,Хорошая практика,org_04,КазТехСтрой,LOTO,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
9e1d3f45-4482-48ff-856d-cb018955a959,2023-04-02,Нарушение,org_07,ТрансНефть,Экология,Загрязнённые ветошь и спецодежда выброшены в бытовой мусор.,Просрочено
c145d09f-7261-489b-9db4-d055559d8a5d,2023-04-03,Хорошая практика,org_05,АзимутДриллинг,Экология,Работник самостоятельно остановил работу при обнаружении нарушения и сообщил мастеру.,Устранено
70521618-f588-4e99-8eb7-323fb8ca07fc,2023-04-04,Нарушение,org_01,КМГ-Кумколь (основное),Огневые работы,Отсутствие первичных средств пожаротушения в зоне огневых работ.,Устранено
ab154d2c-6be6-493e-acc5-6a8b9ae30356,2023-04-04,Хорошая практика,org_05,АзимутДриллинг,Транспорт,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
7e464ca9-fa0e-4bc1-824b-aaf4dc4a7d38,2023-04-05,Нарушение,org_04,КазТехСтрой,Огневые работы,Огневые работы без оформленного разрешения и газового контроля.,Устранено
2cc075a7-2f9b-4fbc-88f8-11ecb9abd7cb,2023-04-06,Нарушение,org_05,АзимутДриллинг,СИЗ,Работник выполняет сварочные работы без защитного щитка и перчаток.,В работе
922b48e8-e198-4891-99ae-64c7730eae37,2023-04-06,Нарушение,org_01,КМГ-Кумколь (основное),Электробезопасность,Подключение к электросети без заземления корпуса оборудования.,Просрочено
9e397ee8-3b60-4117-a6ee-2b3e2c36ab91,2023-04-07,Нарушение,org_03,НефтеМонтаж,Экология,Хранение химических реагентов без поддонов на грунте.,Устранено
6aef885c-d338-4998-9cba-41ea2a1467c5,2023-04-07,Нарушение,org_02,БурСервис,LOTO,Снятие замка блокировки без уведомления ответственного лица.,Устранено
d00a5230-7ad7-4854-a334-6361270d6543,2023-04-07,Нарушение,org_01,КМГ-Кумколь (основное),СИЗ,Работник выполняет сварочные работы без защитного щитка и перчаток.,Устранено
8df85cd3-e362-446a-a0ee-32abcc08f7c9,2023-04-07,Нарушение,org_04,КазТехСтрой,СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,Устранено
3cb5c288-4a00-4f24-b882-73d528d1fab0,2023-04-09,Нарушение,org_05,АзимутДриллинг,Экология,Открытые бочки с нефтепродуктами — риск испарения и розлива.,Устранено
c277c6a7-127c-4c21-b4f7-48d6cb457ad4,2023-04-09,Хорошая практика,org_01,КМГ-Кумколь (основное),LOTO,Правильное использование страховочной привязи при работе на высоте 3м.,Устранено
19ebb901-b782-4b49-8369-fd48d7e5b34d,2023-04-12,Хорошая практика,org_01,КМГ-Кумколь (основное),Электробезопасность,Работник корректно применил процедуру LOTO при обслуживании оборудования.,Устранено
34117fbb-d6ff-4ff2-8243-b50a7759881e,2023-04-13,Хорошая практика,org_04,КазТехСтрой,Порядок на рабочем месте,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
f81526ab-b6f6-47be-876d-b09295750ba0,2023-04-13,Нарушение,org_03,НефтеМонтаж,СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,Устранено
5dda4d14-43b2-467b-9996-c5137f3ee297,2023-04-13,Нарушение,org_03,НефтеМонтаж,Транспорт,Движение задним ходом без сигнальщика.,Просрочено
15029798-4034-42ea-b29e-58a63c7f868e,2023-04-15,Хорошая практика,org_04,КазТехСтрой,Электробезопасность,Правильное использование страховочной привязи при работе на высоте 3м.,Устранено
261b1bbe-324d-46ff-af7d-50940cb8de16,2023-04-16,Хорошая практика,org_01,КМГ-Кумколь (основное),Работа на высоте,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
9873f17f-f3d0-4806-9696-9ea361a6c9b7,2023-04-18,Нарушение,org_02,БурСервис,Огневые работы,Отсутствие первичных средств пожаротушения в зоне огневых работ.,В работе
de935905-4dfd-431e-9b58-dfbf0a4287cf,2023-04-18,Хорошая практика,org_04,КазТехСтрой,Огневые работы,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
9542dccc-bdae-4299-aef4-91dc4a102f1b,2023-04-20,Нарушение,org_05,АзимутДриллинг,Электробезопасность,Оголённые провода удлинителя в рабочей зоне.,В работе
649f3a6e-6006-4a9c-ac1a-07e2110f6b0b,2023-04-20,Нарушение,org_03,НефтеМонтаж,Экология,Смешанные отходы в контейнере для раздельного сбора.,В работе
975abbb9-c3d6-4091-b286-311edb8f38cf,2023-04-21,Нарушение,org_02,БурСервис,Экология,Загрязнённые ветошь и спецодежда выброшены в бытовой мусор.,Устранено
e58541d0-e347-42fa-9b7e-e6e2fc91e78c,2023-04-21,Хорошая практика,org_02,БурСервис,Порядок на рабочем месте,Бригада провела инструктаж перед началом работ согласно регламенту.,Устранено
af8dc53a-30be-499b-b152-60d40089513d,2023-04-22,Хорошая практика,org_04,КазТехСтрой,Экология,Бригада провела инструктаж перед началом работ согласно регламенту.,Устранено
c6cc432a-75ba-4502-954c-049f90dd9ee8,2023-04-25,Хорошая практика,org_01,КМГ-Кумколь (основное),Транспорт,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
cfa36712-7de1-4fcc-bd0a-70bd0557b4c0,2023-04-25,Нарушение,org_06,СтройПодряд,СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,Устранено
ead34d93-0d73-4b0f-bb25-31377932bad0,2023-04-27,Нарушение,org_02,БурСервис,Транспорт,Движение задним ходом без сигнальщика.,Устранено
e5c68fcf-35b9-4478-a1ba-4f63a2e1484b,2023-04-29,Хорошая практика,org_02,БурСервис,СИЗ,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
af3658c4-0f9f-494a-b0be-8f86baeb8fe2,2023-04-29,Нарушение,org_07,ТрансНефть,Порядок на рабочем месте,Инструмент и оборудование не убраны после окончания смены.,В работе
4ba6f55c-a73d-42de-a86e-a13ca2985d6c,2023-04-30,Хорошая практика,org_03,НефтеМонтаж,Работа на высоте,Правильное использование страховочной привязи при работе на высоте 3м.,Устранено
7487ac63-e6bb-4b87-8d70-a9a89fdcbef0,2023-04-30,Хорошая практика,org_04,КазТехСтрой,LOTO,Обнаруженный разлив немедленно локализован и убран по инициативе работника.,Устранено
b54e9881-5361-44e1-9117-f36fcd8ee1ec,2023-04-30,Хорошая практика,org_07,ТрансНефть,Транспорт,Правильное использование страховочной привязи при работе на высоте 3м.,Устранено
b7d1859a-9ed7-4fc4-980b-78cb99566d15,2023-05-02,Нарушение,org_05,АзимутДриллинг,СИЗ,Отсутствие каски у работника в зоне обязательного ношения СИЗ.,Устранено
ea0fcb90-2265-4c15-a907-cab2462f4e41,2023-05-03,Нарушение,org_01,КМГ-Кумколь (основное),Порядок на рабочем месте,Инструмент и оборудование не убраны после окончания смены.,В работе
3e113cce-1090-44c1-b5af-c482099cab2c,2023-05-04,Нарушение,org_04,КазТехСтрой,СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,В работе
79d973b5-8295-4f28-82cc-9bc97921bbb3,2023-05-05,Хорошая практика,org_06,СтройПодряд,Электробезопасность,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
24168f16-86b3-44dc-953e-42f36a165b59,2023-05-06,Нарушение,org_03,НефтеМонтаж,Электробезопасность,Оголённые провода удлинителя в рабочей зоне.,Устранено
d1b27e40-a295-4255-a94f-f1747477f51f,2023-05-07,Хорошая практика,org_06,СтройПодряд,Порядок на рабочем месте,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
a91eb438-efb4-4e63-a658-f40c87b23a7e,2023-05-07,Хорошая практика,org_04,КазТехСтрой,Работа на высоте,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
cdcacabd-e808-4ab9-b2af-c68c5607d091,2023-05-08,Нарушение,org_01,КМГ-Кумколь (основное),СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,Устранено
d83c4c53-4b11-4272-b95c-7c7a613526be,2023-05-11,Хорошая практика,org_05,АзимутДриллинг,Экология,Работник корректно применил процедуру LOTO при обслуживании оборудования.,Устранено
47effecc-8641-4b05-8b31-62b588107037,2023-05-11,Хорошая практика,org_03,НефтеМонтаж,Работа на высоте,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
499b955c-c516-4414-ac56-8c33169774bf,2023-05-12,Нарушение,org_02,БурСервис,LOTO,Снятие замка блокировки без уведомления ответственного лица.,Устранено
